Sex,TV,computer,Sleep,Seat,alcohol,Height,exercise,GPA,class,Weight
Female,13,10,3.5,Back,12,66,10,4,NonLib,125.39999999999999
Female,2,5,4,Back,0,64,5,NA,NonLib,117.8
Male,20,7,9,Back,0,72,2,2.3,NonLib,143
Male,15,15,6,Back,0,68,3,2.6,NonLib,162.8
Male,8,20,6,Middle,0,68,6,2.8,NonLib,154
Female,2.5,10,5,Front,5,64,6.5,2.62,NonLib,123.5
Male,2,14,9,Middle,0,68.5,2,2.2,NonLib,149.60000000000002
Female,4,28,8.5,Front,1.5,69,3,3.78,NonLib,125.39999999999999
Female,8,10,7,Middle,4.5,66,4.5,3.2,NonLib,119.69999999999999
Male,1,15,8,Middle,1,70,3,3.31,NonLib,156.20000000000002
Male,8,25,4.5,Back,0,67,6,3.39,NonLib,145.20000000000002
Female,28,30,6.5,Front,0,63,1.5,NA,NonLib,115.89999999999999
Male,3.5,9,8,Middle,7,68,8,3,NonLib,140.8
Female,11,20,5,Middle,3,68,0,2.5,NonLib,121.6
Male,10,14,8,Back,15,68,10,2.8,NonLib,158.4
Male,1,84,5,Front,2.5,61,3,2.34,NonLib,136.4
Female,10,11,9,Middle,1,65,5,2,NonLib,117.8
Female,10,1,9,Back,15,64,4,2.4,NonLib,133
Female,1,5,6.5,Middle,5,65,3,1.05,NonLib,133
Female,4,37.5,5.5,Middle,5,65,0,2.1,NonLib,NA
Male,2,6,5,Middle,35,71,20,3.25,NonLib,151.8
Male,40,4,4,Middle,0,68,4.5,3.5,NonLib,149.60000000000002
Female,16,12,7,Back,NA,66,14,3,NonLib,119.69999999999999
Male,10,10,8.5,Back,55,77,10,2.2,NonLib,162.8
Female,30,30,9.5,Front,0,68,1,2.5,NonLib,129.2
Male,10,15,5,Middle,NA,64,6,2.52,NonLib,132
Male,1.5,8,8.5,Front,0,67,5,3.5,NonLib,145.20000000000002
Male,10,12,9,Middle,10,75,7,3,NonLib,160.60000000000002
Male,15,5,6,Back,30,72,6,3.6,NonLib,156.20000000000002
Male,4,5,6.5,Back,4,68,9,3.16,NonLib,149.60000000000002
Male,6,6,5,Back,20,72,10,2.4,NonLib,154
Female,100,2,7,Middle,0,66,3,2.65,NonLib,114
Female,6,8,6.5,Front,0,60,2,NA,NonLib,115.89999999999999
Female,15,40,5,Front,0,60,10,2.6,NonLib,112.1
Female,1,14,6,Middle,0,60,2,0.548,NonLib,117.8
Male,2,25,6,Front,0,NA,0,3.84,NonLib,NA
Male,3.5,22.5,7,Front,2,66,3,3.4,NonLib,140.8
Male,10,20,8,Middle,0,75,5,4,NonLib,147.4
Male,1,14,7,NA,0,69,10,3.2,NonLib,151.8
Male,1,10,6.5,Middle,0,73,8,3,NonLib,147.4
Male,4,3,6,NA,10,70,3,2.2,NonLib,143
Female,1,3,7,Middle,1,64,3,3.5,NonLib,114
Female,6,3,7,Back,2,70,10,3.28,NonLib,117.8
Female,1.5,5.5,5.5,Front,0,64,1.5,3.2,NonLib,115.89999999999999
Female,4,1,7.5,Back,4,63,4,2.81,NonLib,115.89999999999999
Female,10,5,9,Middle,0,61,3,2.87,NonLib,114
Female,18,14,7,Middle,0,69,5,3.19,NonLib,123.5
Male,20,15,6.5,Middle,30,73,4,1.98,NonLib,160.60000000000002
Female,4,6,6,Middle,1,63,4,1.9,NonLib,121.6
Male,20,25,9,Middle,0,70,5,2.51,NonLib,140.8
Male,5,20,4,Middle,2,70,2,3.2,NonLib,149.60000000000002
Male,0,30,3.5,Middle,0,69,6,3.04,NonLib,143
Male,11,17,4.5,Front,20,76,4,2.5,NonLib,158.4
Female,0,30,8.5,Back,2.5,66,2,2,NonLib,125.39999999999999
Female,1,8.5,7,Back,10,65,4,2.6,NonLib,121.6
Female,2,10,11,Middle,0,64,2,3.06,NonLib,117.8
Female,8,7,8,Middle,0,66,6,2.8,NonLib,121.6
Female,1,5,4,Front,0,65,3,3,NonLib,115.89999999999999
Female,3,8,7,Front,0,63,2,3.3,NonLib,114
Female,6,3,4.5,Front,1,63,5.5,3.2,NonLib,121.6
Female,10,7,4,Middle,0,65,2,3.5,NonLib,117.8
Female,15,25,7,Middle,2,66,5,3,NonLib,121.6
Female,15,6,9.5,Back,0,67,2,2.5,NonLib,121.6
Male,12,12,5,Middle,2,69,6,2.4,NonLib,147.4
Female,2,NA,9,Middle,3,67.5,5,2.02,NonLib,131.1
Female,4,17.5,9,Middle,1,62,2,2.14,NonLib,114
Male,15,30,8,Middle,0,68,10,3,NonLib,145.20000000000002
Female,21,3,8,Front,0,64,10,3.73,NonLib,119.69999999999999
Female,4,10,8.5,Front,0,63,2,3,NonLib,117.8
Female,4,21,6.5,Middle,0,64,3,2.23,NonLib,117.8
Female,8,20,5,Middle,2,63,2,2.3,NonLib,110.19999999999999
Male,2,7,7.5,Middle,3,69,6,2.58,NonLib,149.60000000000002
Male,4,10,8,Back,10,73,6,3.5,NonLib,158.4
Male,10,5,2,Middle,5,66,1,2.66,NonLib,143
Female,2,10,5.25,Middle,0,62.5,8,3,NonLib,123.5
Female,9,12.5,7.5,Back,17.5,65,4.5,3.25,NonLib,121.6
Female,7,15,8,Middle,4,66.5,1.5,NA,NonLib,119.69999999999999
Male,14,28,9,Back,10,67,1.5,3.16,NonLib,147.4
Male,2,7.5,7.5,Middle,0,68,21.5,3,NonLib,143
Female,3.5,21,6.5,Middle,1,69.5,3.5,3.3,NonLib,125.39999999999999
Male,0,10,12,Middle,15,71,2,1.85,NonLib,158.4
Female,10,20,6,Middle,0,63.5,1,2.75,NonLib,114
Male,10,4,8,Front,2,NA,3,3.975,NonLib,151.8
Male,25,10,5,Middle,NA,73,20,NA,NonLib,149.60000000000002
Female,5.5,20,10,Middle,6,69,4,3.12,NonLib,121.6
Male,14,14,5,Middle,0,70.5,1.5,3.24,NonLib,164.45000000000002
Male,0,1,6.5,Back,10,70,0,2.97,NonLib,154
Male,21,21,6.5,Back,0,66,1,3,NonLib,140.8
Male,14,20,7,Middle,0,65,2,3,NonLib,121.00000000000001
Female,11,7,7,Back,1,67,5,3.01,NonLib,119.69999999999999
Female,8,10,8,Middle,0,67,2,3.1,NonLib,125.39999999999999
Male,2,30,7,Front,3,70,4,3.4,LibArts,154
Female,1.5,20,8,Front,0,67,0,4,LibArts,131.1
Male,14,10,7,Middle,6,65,3,2.8,LibArts,143
Male,2,10,8,Middle,7,70,7,3.37,LibArts,156.20000000000002
Female,6,10,9,Front,0,61,2,3.4,LibArts,115.89999999999999
Male,20,0,8,Back,1,72,3,3.5,LibArts,162.8
Male,14,35,5.5,Middle,NA,69,0,3.5,LibArts,149.60000000000002
Male,1,20,8,Middle,0,70,0,2.4,LibArts,149.60000000000002
Male,14,2,9,Middle,18,70,3,2,LibArts,151.8
Female,10,5,8,Front,0,67,2.5,3.5,LibArts,123.5
Male,15,10,6,Middle,2,71,1,2.7,LibArts,151.8
Female,2,4,6.5,Middle,1,67,30,3,LibArts,119.69999999999999
Female,10,50,7,Middle,1,63,7,2.5,LibArts,114
Female,6,5,8.5,Middle,4,63,1,2.17,LibArts,115.89999999999999
Female,20,8,7,Front,0,60,0,3.1,LibArts,114
Male,20,30,6,Front,0,64,10,2.5,LibArts,143
Male,35,40,10,Back,5,63,2,3.43,LibArts,140.8
Male,15,15,6,Front,0,66,2,3.6,LibArts,134.20000000000002
Male,5,40,10,Middle,0,71,2.5,2.91,LibArts,154
Male,13.5,3,8,Back,0,70,7,NA,LibArts,151.8
Female,35,21,10.5,Front,0,63,2.5,2.83,LibArts,129.2
Female,1,2,8,Middle,0,65.5,4.5,3.22,LibArts,117.8
Female,4,9,7,Middle,2,66,6,3.8,LibArts,119.69999999999999
Male,0,14,7.5,Front,0,72,4,2.1,LibArts,162.8
